set,language,singer,title,url,views,likes,comments,bonafide_or_spoof
Training,Mandarin,Bella_Yao,【4K 60fps】姚贝娜 - 御龙吟 4K修复版 官方版MV（网游《御龙在天》插曲 宣传版）,https://www.bilibili.com/video/BV1hU4y1o7x1/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,62915,1352,109,0
Training,Mandarin,Bella_Yao,【4K 60fps】姚贝娜 - 生命的河 4K 修复纯人声版,https://www.bilibili.com/video/BV1xW4y1Y7sH/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,1082,71,8,0
Training,Mandarin,Bella_Yao,【姚贝娜】《心火》湖北卫视新年环球狂欢夜2014,https://www.bilibili.com/video/BV1ae4y127ao/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,7821,240,31,0
Training,Mandarin,Bella_Yao,“给岁月以文明，给时光以生命。” 独唱纯享版 AiBella翻唱《歌者》,https://www.bilibili.com/video/BV1iM4y1Y75q/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,6149,314,85,1
Training,Mandarin,Bella_Yao,【AI姚贝娜】“我愿投身前途未卜的群星。”偷跑一小小小小段《夜航星》,https://www.bilibili.com/video/BV1vV4y1B7Le/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,4806,209,63,1
Training,Mandarin,Bella_Yao,【AI 姚贝娜】《人是_》cover 周深 （用AI為她譜寫33歲之後的人生，讓更多人知道聽到她的聲音。逝者已矣，生者如斯，音容犹在，AI重生）,https://www.youtube.com/watch?v=DyAmaELdJag&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ,1900,29,7,1
Training,Mandarin,Bella_Yao,【AI姚贝娜】斯人归来，天涯尽处。翻唱《独立寒江•曲无忆》,https://www.bilibili.com/video/BV1E24y1t7nh/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,18204,462,75,1
Training,Mandarin,Bella_Yao,【AI姚贝娜】相思算什么，早无人在意。翻唱《相思》,https://www.bilibili.com/video/BV1oM411p7V6/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,37844,1381,232,1
Training,Mandarin,Bella_Yao,【Ai姚贝娜】“我曾将青春翻涌成她。”翻唱《起风了》+大版本更新,https://www.bilibili.com/video/BV1Qh4y1t7He/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,11889,629,177,1
Training,Mandarin,Bella_Yao,【AI姚贝娜】“你问我死后会去哪里，有没有人爱你。”翻唱《海底》,https://www.bilibili.com/video/BV1Dk4y1e7Bn/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,63160,2330,256,1
Training,Mandarin,Bella_Yao,【AI翻唱 不是“姚贝娜”】《让她降落》（至少让她降落在你怀中。逝者已矣，生者如斯，音容犹在，AI重生）,https://www.youtube.com/watch?v=9fGL5fCT9Bs&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ&index=3,752,13,10,1
Training,Mandarin,Bella_Yao,【AI姚贝娜】“至少让她降落在你怀中。”翻唱《让她降落》,https://www.bilibili.com/video/BV1JV4y1R7ZG/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,105616,4683,539,1
Training,Mandarin,Bella_Yao,【AI姚贝娜】小娜 - 小幸运 Cover原唱：田馥甄 电影《我的少女时代》主题曲,https://www.bilibili.com/video/BV1AL411B7UM/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,2685,105,43,1
Training,Mandarin,Bella_Yao,【AI 姚贝娜】《海底》cover 一支榴莲 （你问我死后会去哪里，有没有人爱你）,https://www.youtube.com/watch?v=W_RAkIRDfJ4&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ&index=2,2047,34,5,1
Training,Mandarin,Bella_Yao,【AI翻唱 “姚贝娜”】《起风了》副歌部分無敵 - “我曾将青春翻涌成她。” 《逝者已矣，生者如斯，音容犹在，AI重生》,https://www.youtube.com/watch?v=DUgVh_q0X9c&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ&index=4,2166,48,8,1
Training,Mandarin,Bella_Yao,【AI姚贝娜】“我想给她完整的一生。“《人是_》翻唱,https://www.bilibili.com/video/BV18L411R7sj/?spm_id_from=333.337.search-card.all.click,646803,44472,2152,1
Training,Mandarin,Chang_Chen-yue,破吉他,https://www.bilibili.com/video/BV14P4y1q7sG?p=16,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,秘密,https://www.bilibili.com/video/BV14P4y1q7sG?p=6,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,抱着你,https://www.bilibili.com/video/BV14P4y1q7sG?p=13,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,离开,https://www.bilibili.com/video/BV14P4y1q7sG?p=8,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,超大行李,https://www.bilibili.com/video/BV14P4y1q7sG?p=17,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,干妹妹,https://www.bilibili.com/video/BV14P4y1q7sG?p=15,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,自由,https://www.bilibili.com/video/BV14P4y1q7sG?p=7,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,爱我别走,https://www.bilibili.com/video/BV14P4y1q7sG?p=4,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,分手吧,https://www.bilibili.com/video/BV14P4y1q7sG?p=9,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,再见Hip-Hop,https://www.bilibili.com/video/BV14P4y1q7sG?p=10,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,有一天,https://www.bilibili.com/video/BV14P4y1q7sG?p=11,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,路口,https://www.bilibili.com/video/BV14P4y1q7sG?p=14,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,小宇,https://www.bilibili.com/video/BV14P4y1q7sG?p=5,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,就是喜欢你,https://www.bilibili.com/video/BV14P4y1q7sG?p=12,19717,227,16,0
Training,Mandarin,Chang_Chen-yue,【AI张震岳】《寂寞的季节》陶喆,https://www.bilibili.com/video/BV1WV4y1v7wD/?spm_id_from=333.337.search-card.all.click,179,7,2,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《温柔》,https://www.bilibili.com/video/BV1ss4y1U7Ph/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,21950,574,122,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《普通朋友》,https://www.bilibili.com/video/BV1Q84y1g7L4/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,311826,5920,594,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《夜夜夜夜》,https://www.bilibili.com/video/BV1nm4y187zY/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,6375,162,35,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《二十二》,https://www.bilibili.com/video/BV1PY4y1D7hx/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,49577,1182,142,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《淘汰》,https://www.bilibili.com/video/BV1ZV4y1f7W6/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,16568,383,102,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《未接来电》,https://www.bilibili.com/video/BV1ZL411Y7re/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,16837,344,88,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《流沙》,https://www.bilibili.com/video/BV1x84y1g78H/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,28265,473,69,1
Training,Mandarin,Chang_Chen-yue,【AI张震岳】一念之间-陶喆,https://www.bilibili.com/video/BV1cM411u78h/?spm_id_from=333.337.search-card.all.click,2978,81,27,1
Training,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《寂寞的季节》,https://www.bilibili.com/video/BV1to4y1n74V/?spm_id_from=333.999.0.0&vd_source=bda8c28f9763524b2b9bd9962b1b4120,51569,1299,126,1
Training,Mandarin,Hebe_Tien,【4K珍藏】田馥甄《小幸运》我的少女时代版！,https://www.bilibili.com/video/BV1QL4y1t7z4/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,1865995,20827,901,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄-皆可,https://www.bilibili.com/video/BV1az4y1f7jz/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,387418,4249,342,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [還是要幸福 Still in Happiness] Official MV,https://www.youtube.com/watch?v=1CcQDuuhdXA,81657064,126695,8026,0
Training,Mandarin,Hebe_Tien,懸日,https://www.bilibili.com/video/BV1ja4y147Wr?p=20,12402,92,4,0
Training,Mandarin,Hebe_Tien,你就不要想起我,https://www.bilibili.com/video/BV1ja4y147Wr?p=7,12402,92,4,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄-先知,https://www.bilibili.com/video/BV17V411U7hE/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,272507,2519,214,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ TO HEBE ] Official Music Video,https://www.youtube.com/watch?v=Y-l8vok_tUE,3690697,10184,471,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄-一一,https://www.bilibili.com/video/BV1E5411h7xt/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,253865,2627,202,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄-底里歇斯,https://www.bilibili.com/video/BV1iz4y1U77u/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,79005,2763,152,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 小幸運 官方Live版 A Little Happiness] LIVE Version (如果 田馥甄巡迴演唱會),https://www.youtube.com/watch?v=CFTZSSJyy7A,12472881,53303,2778,0
Training,Mandarin,Hebe_Tien,我对不起我,https://www.bilibili.com/video/BV1ja4y147Wr?p=8,12402,92,4,0
Training,Mandarin,Hebe_Tien,終身大事,https://www.bilibili.com/video/BV1ja4y147Wr?p=21,12402,92,4,0
Training,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [你就不要想起我 You Better Not Think About Me] Official MV HD,https://www.youtube.com/watch?v=GsKbnsUN2RE,94629074,204762,6955,0
Training,Mandarin,Hebe_Tien,【Official MV】一周的朋友 - 田馥甄,https://www.bilibili.com/video/BV1ZL4y1P7uu/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,5436,203,33,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [MY LOVE] Official MV HD,https://www.youtube.com/watch?v=t3r7a_7LqRA,10532736,35847,2725,0
Training,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [不醉不會 Learning From Drunk ] Official MV HD,https://www.youtube.com/watch?v=7gQxgKaiPzk,58915389,115591,2886,0
Training,Hokkien,Hebe_Tien,"田馥甄 Hebe Tien《有無 To Have, or Not To Have》Official Live MV",https://www.youtube.com/watch?v=HQ7v1uwFTUw,197735,2972,187,0
Training,Mandarin,Hebe_Tien,你太猖狂,https://www.bilibili.com/video/BV1ja4y147Wr?p=6,12402,92,4,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄-人什么的最麻烦了,https://www.bilibili.com/video/BV1Th411m7zd/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,107807,4425,249,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 看淡 As it is ] (電視劇「一把青」片頭曲) Official Music Video,https://www.youtube.com/watch?v=XqCu-t8YWr4,16460236,46748,2424,0
Training,Mandarin,Hebe_Tien,田馥甄（Hebe）好听的单曲《MY LOVE》.,https://www.bilibili.com/video/BV1Wx411P7B8/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,47548,505,67,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 愛了很久的朋友 ] Official Music Video (電影『後來的我們』插曲),https://www.youtube.com/watch?v=mJwyo5fH3jY,21086730,66149,2137,0
Training,Mandarin,Hebe_Tien,只对你有感觉,https://www.bilibili.com/video/BV1ja4y147Wr?p=5,12402,92,4,0
Training,Mandarin,Hebe_Tien,不醉不会,https://www.bilibili.com/video/BV1ja4y147Wr?p=4,12402,92,4,0
Training,Mandarin,Hebe_Tien,【4K】田馥甄-或是一首歌,https://www.bilibili.com/video/BV1Dp4y1v7qa/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,613319,11702,1533,0
Training,Mandarin,Hebe_Tien,【田馥甄】《不醉不会》(2013年)[高清MV1080P],https://www.bilibili.com/video/BV1Jx411V7Es/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,189591,2194,102,0
Training,Mandarin,Hebe_Tien,还是要幸福,https://www.bilibili.com/video/BV1ja4y147Wr?p=11,12402,92,4,0
Training,Mandarin,Hebe_Tien,【田馥甄】终身大事-2014 Live「2GETHER 4EVER ENCORE影音館」,https://www.bilibili.com/video/BV1os411B7NN/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,50649,590,67,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 獨善其身 Love Yourself ] Official Music Video,https://www.youtube.com/watch?v=6V9iNXXol1Q,3893074,17717,968,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 日常 Day by day ] Official Music Video,https://www.youtube.com/watch?v=3dBFK2fHjWg,3226187,15850,558,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄 - 讽刺的情书,https://www.bilibili.com/video/BV1Hi4y1u7am/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,427571,7687,579,0
Training,Mandarin,Hebe_Tien,小幸运,https://www.bilibili.com/video/BV1ja4y147Wr?p=2,12402,92,4,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [寂寞寂寞就好 Leave Me Alone] Official MV,https://www.youtube.com/watch?v=DyFIzKYQQYE,89624312,140388,6672,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 靈魂伴侶 Soul Mate ] Official Music Video,https://www.youtube.com/watch?v=oKIBJJW8neU,5837846,23527,1081,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄-田,https://www.bilibili.com/video/BV13z4y1U7YU/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,97143,3561,281,0
Training,Mandarin,Hebe_Tien,魔鬼中的天使,https://www.bilibili.com/video/BV1ja4y147Wr?p=18,12402,92,4,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien《乘著無人光影的遠行 Glimpses of a Journey》Official Music Video,https://www.youtube.com/watch?v=iHm7YCMbw0w,1417895,9619,942,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien《一周的朋友》Official Music Video（電影【一周的朋友】主題曲）,https://www.youtube.com/watch?v=NbX4ZHSuCsg,1051380,12086,597,0
Training,Mandarin,Hebe_Tien,【MV】【田馥甄】你太猖狂 官方高清MV,https://www.bilibili.com/video/BV1Ss411S7bJ/?spm_id_from=333.337.search-card.all.click,25340,154,58,0
Training,Mandarin,Hebe_Tien,【首播】田馥甄 - [ 日常 ] - 官方MV,https://www.bilibili.com/video/BV1cs41187or/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,8900,50,28,0
Training,Mandarin,Hebe_Tien,身體都知道,https://www.bilibili.com/video/BV1ja4y147Wr?p=19,12402,92,4,0
Training,Mandarin,Hebe_Tien,田馥甄 - 要死就一定要死在你手里【梦想的声音】,https://www.bilibili.com/video/BV1Wx411n74G/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,166100,919,107,0
Training,Mandarin,Hebe_Tien,【4K高清修复】Hebe 田馥甄 - 囚鸟 Live (一定要看到最后的Talking) 2160P Hi-Res,https://www.bilibili.com/video/BV17m4y1n7qQ/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,35963,418,48,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [我想我不會愛你 I Don't Think I Am In Love With You] Official MV,https://www.youtube.com/watch?v=jmvsxBwpnIQ,19186353,48439,1215,0
Training,Mandarin,Hebe_Tien,田馥甄 摯友 这一唱 唱到谁心里去,https://www.bilibili.com/video/BV1z8411o7Uu/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,2958,127,2,0
Training,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [愛著愛著就永遠 Forever Love] Official MV HD,https://www.youtube.com/watch?v=fJWN7wtvaJ0,69171301,102382,1947,0
Training,Mandarin,Hebe_Tien,寂寞寂寞就好,https://www.bilibili.com/video/BV1ja4y147Wr?p=15,12402,92,4,0
Training,Mandarin,Hebe_Tien,我想我不会爱你,https://www.bilibili.com/video/BV1ja4y147Wr?p=9,12402,92,4,0
Training,Mandarin,Hebe_Tien,【官方MV】田馥甄-悬日,https://www.bilibili.com/video/BV1qp4y1v7Rn/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,415731,4633,398,0
Training,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [你太猖狂 Missing You] Official MV,https://www.youtube.com/watch?v=EMBg0leN5vs,9525867,21283,692,0
Training,Mandarin,Hebe_Tien,【首播】田馥甄 - 灵魂伴侣 - 官方MV,https://www.bilibili.com/video/BV18s411k7K3/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,152316,1329,173,0
Training,Mandarin,Hebe_Tien,【4K珍藏】田馥甄《爱了很久的朋友》，撩苏我了!,https://www.bilibili.com/video/BV1w44y1s7Xe/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,351646,1488,41,0
Training,Mandarin,Hebe_Tien,田馥甄Hebe Tien [魔鬼中的天使 Angel Devil] Official MV,https://www.youtube.com/watch?v=na_xv5iFt2Y,68288938,137518,4883,0
Training,Mandarin,Hebe_Tien,【首播】田馥甄 - [ 余波荡漾 ] - 官方MV,https://www.bilibili.com/video/BV1Es411y76h/?spm_id_from=333.788.recommend_more_video.1&vd_source=6773a02315422cd9e9d1490e5baec619,71057,463,101,0
Training,Mandarin,Hebe_Tien,田馥甄Hebe《乘着无人光影的远行》全程音质最佳版 20230806 一一巡回演唱会台北最终场,https://www.bilibili.com/video/BV1yV4y1e7oS/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,9776,183,31,0
Training,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [ 渺小 INSIGNIFICANCE ] Official MV HD,https://www.youtube.com/watch?v=BClZoVLwZCE,21774341,72687,3797,0
Training,Mandarin,Hebe_Tien,田馥甄 歌曲选集,https://www.bilibili.com/video/BV1ja4y147Wr/?spm_id_from=333.337.search-card.all.click,12402,92,4,0
Training,Mandarin,Hebe_Tien,Hebe Tien [ When you are gone ] Official Music Video,https://www.youtube.com/watch?v=LEdrjjMfe-Q,16586108,47428,1673,0
Training,Mandarin,Hebe_Tien,田馥甄Hebe《水星记》cr:郭顶 完整版 一一巡回演唱会台北最终场！,https://www.bilibili.com/video/BV1Y44y1w7UW/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,92245,996,168,0
Training,Mandarin,Hebe_Tien,【4K HDR/60fps】田馥甄《魔鬼中的天使》-但是想都别想我求饶,https://www.bilibili.com/video/BV19P4y1x7FZ/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,456314,4762,153,0
Training,Mandarin,Hebe_Tien,渺小,https://www.bilibili.com/video/BV1ja4y147Wr?p=17,12402,92,4,0
Training,Mandarin,Hebe_Tien,灵魂伴侣,https://www.bilibili.com/video/BV1ja4y147Wr?p=10,12402,92,4,0
Training,Mandarin,Hebe_Tien,【田馥甄】如果·IF ONLY,https://www.bilibili.com/video/BV1Gs411e7mF/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,311043,2316,555,0
Training,Mandarin,Hebe_Tien,田馥甄《演员》,https://www.bilibili.com/video/BV1ts411a7m1/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,173701,961,206,0
Training,Mandarin,Hebe_Tien,爱了很久的朋友,https://www.bilibili.com/video/BV1ja4y147Wr?p=13,12402,92,4,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《套马杆》cover.乌兰托娅,https://www.bilibili.com/video/BV1Lu411t7Rs/?spm_id_from=333.788,3683,61,33,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《Lydia》cover.飞儿乐团,https://www.bilibili.com/video/BV1Mh411L7Du/?spm_id_from=333.788,25452,547,278,1
Training,Mandarin,Hebe_Tien,【AI Hebe】如果让20年前的田馥甄唱《小幸运》会怎么样？,https://www.bilibili.com/video/BV1Gg4y157GM/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,16674,394,98,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《简单爱》cover.周杰伦,https://www.bilibili.com/video/BV1ru41147FL/?spm_id_from=333.788,4547,57,12,1
Training,Mandarin,Hebe_Tien,AI田馥甄《晴天》cover周杰伦,https://www.bilibili.com/video/BV1SP411q7tL/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,951,26,8,1
Training,Mandarin,Hebe_Tien,【AI小Hebe】《讽刺的情书》cover.田馥甄,https://www.bilibili.com/video/BV1jh4y1j7aV/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,5595,75,33,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《岁月神偷》cover.金玟岐,https://www.bilibili.com/video/BV1wz4y1e7Eo/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,2991,75,9,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《去有风的地方》cover.郁可唯,https://www.bilibili.com/video/BV18c411P7Tb/?spm_id_from=333.788,3744,91,29,1
Training,Mandarin,Hebe_Tien,不晚,https://www.bilibili.com/video/BV1ja4y147Wr?p=3,12402,92,4,1
Training,Mandarin,Hebe_Tien,AI田馥甄 清唱《我不配》cover周杰伦,https://www.bilibili.com/video/BV1Vh411K7uN/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,889,24,2,1
Training,Mandarin,Hebe_Tien,AI田馥甄《烟花易冷》cover周杰伦,https://www.bilibili.com/video/BV1eN411k79A/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,338,15,4,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《退后》~最美的爱情，回忆里待续！,https://www.bilibili.com/video/BV1vP411m73H/?spm_id_from=333.788,18916,610,148,1
Training,Mandarin,Hebe_Tien,AI田馥甄《彩虹》cover 周杰伦,https://www.bilibili.com/video/BV1Zu41187oD/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,934,24,3,1
Training,Mandarin,Hebe_Tien,AI田馥甄《七里香》cover周杰伦,https://www.bilibili.com/video/BV1Du411Y7xx/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,1502,40,9,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《大眠》Cover.王心凌,https://www.bilibili.com/video/BV1hk4y1E7Ca/?spm_id_from=333.788,12199,217,60,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《路过人间》cover.郁可唯,https://www.bilibili.com/video/BV1oV4y1R7ft/?spm_id_from=333.788,13006,202,50,1
Training,Mandarin,Hebe_Tien,【AI田馥甄】《白色风车》cover. 周杰伦,https://www.bilibili.com/video/BV1Us4y1A7KL/?spm_id_from=333.788,22626,660,120,1
Training,Mandarin,Hebe_Tien,AI田馥甄 feat周杰伦《退后》cover周杰伦,https://www.bilibili.com/video/BV1nh4y1g7bu/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,915,21,2,1
